Title,Author,CallNo,AccNo,
Computer networks,"Tanenbaum, Andrew S",004.6 TAN,233791,
Computer networks and communication,"Jain, V. K",004.3 JAI,201302,
Computer networks and internets,"Comer, Douglas E",004.6 COM,203737,
Computer organization,"Hamacher, V. Carl",004.22 HAM,168257,
Computer organization and architecture,"Rajaraman, V",004 RAJ,285352,
Computer oriented numerical ,"Salaria, R.S.",515.0285 SAL,278485,
Computer oriented numerical methods,"Rajaraman, V",515.0285 RAJ,239079,
Computer peripherals and interfacing,"Snehi, Jyoti",004.77 SNE,258175,
Computer primer: Dharma Rajaraman and V. Rajaraman,"Rajaraman, Dharma",004 RAJ,179319,
Computer programming in C,"Rajaraman, V",005.133 RAJ,231956,
Computer programming in COBOL,"Rajaraman, V",005.362 RAJ,177183,
Computer programming in FORTRAN 90 and 95,"Rajaraman, V",005.362 RAJ,182302,
Computer programming with C++,"Pimparkhede, Kunal",005.133 PIM,319847,
Computer science question bank,Bhanu Pratap,004.076 BHA,201327,
Computer science question bank,"Basandra, Suresh K.",004.076 BAS,250942,
Computer science question bank bible,"Jaiswal, S.",004.076 JAI,250954,
"Computer security: concepts, issues, and implementation","Basta, Alfred",005.8 BAS,265830,
Computer simulation in physics: based on numerical techniques and FORTRAN,"Verma, R C",003.3 VER,233173,
Computer system architecture,"Mano, M. Morris",004.22 MAN,320764,
Computer systems design and architecture,"Heuring, Vincent P",004.22 HEU,230813,
Computer-based library information systems: designing techniques,"Kashyap, Madan Mohan",025.04 KAS,247564,
Computer-integrated manufacturing,"Rehg, James A",004.22 REH,230855,
Computers and common sense,"Hunt, Roger",004 HUN,207056,
Computers and information management: a primer for practising managers,"Bhatnagar, S. C.",658.4038 BHA,185333,
Computers for libraries,"Rowley, J. E",025.002854 ROW,164324,
Computers systems and applications,"Sudharsan, P",004 SUD,233883,
Computers today & tomorrow,Jain V.K,004 AGA,231965,
Concept in biotechnology,"Balasubramanian, D",660.6 CON,179317,
Concepts and methods of social work,"Friedlander, Walter A.",361.3 FRI,69699,
Concepts and models of inorganic chemistry,"Douglas, Bodie E",546 DOU,314116,
"Concepts and models of inorganic chemistry: Bodie Douglas, Darl McDaniel and John Alexander","Douglas, Bodie",546 DOU,303335,
Concepts and techniques of geographic information systems,"Lo, C.P.",910.21 LOC,284831,
Concepts in data structures and software development,"Schneider, G. Michael.",005.1 SCH,233951,
Concepts in photobiology: Photosynthesis and photomorphogenesis,"Singhal, G. S",572.46 CON,182856,
Concepts in thermal physics,"Blundell, Stephen J.",536.7 BLU,257361,
Concepts of atomic physics,"Jackson, Daphne F",539 JAC,51560,
Concepts of ecology,"Kormondy, Edward J.",577 KOR,284714,
Concepts of modern physics,"Beiser, Arthur",539 BEI,299242,
Concepts of nuclear physics,"Cohen, Bernard L",539.7 COH,285668,
Concise handbook of civil engineering,"Vazirani, V.N.",624 VAZ,240958,
Concise inorganic chemistry,"Lee, J. D.",546 LEE,313963,
Concise Oxford companion to economics in India,"Basu, Kaushik, ed.",330.0954 CON,277263,
Concise Oxford English dictionary,"Soanes, Catherine, ed.",423 CON,267170,
Concise Oxford English dictionary,"Stevenson, Angus, Ed.",423 CON,297034,
Concise Oxford English-Arabic dictionary of current usage,"Doniach, N.S., ed.",492.7321 CON,267169,
"Concise Oxford-Hachette French dictionary: French-English, English-French","Correard, Marie-Helene, ed.",443 CON,266613,
"Concise Oxford-Hachette French dictionary: French-English, English-French","Correard, Marie-Helene, ed.",443 CON,266614,
Concrete technology,"Gambhir, M. L.",691.3 GAM,181956,
Concrete technology,"Santhakumar, A.R.",691.3 SAN,276075,
Concrete technology: theory and practice,"Shetty, M.S.",691.3 SHE,240788,
Concrete technology: theory and practice,"Gambhir, M. L",691.3 GAM,301467,
Conforming to the latest syllabus of gate computer science & engineering,Bhanu Pratap,371.01074 BHA,201324,
Constitutional law of India,"Pandey, J. N",342.5403 PAN,120748,
Constitutional law of India,"Basu, Durga Das",342.5402 BAS,133907,
Construction management and PWD accounts: (S.I. Units),Lal.D,692.8 LAL,316077,
"Construction planning, equipment, and methods","Peurifoy, R. L",624 PEU,175282,
Construction technolgy,"Sarkar, Subir K.",624 SAR,276122,
Consumer demand: a new approach,"Lancaster, Kelvin",339.41 LAN,73072,
Contemporary advertising,"Arens, William F.",659.1 ARE,256469,
Contemporary auditing for students,"Gupta, Kamal",657.45 GUP,197646,
"Contemporary economic sociology: globalisation, production, inequality","Tonkiss, Fran",306.3 TON,258798,
Contemporary field research: a collection of reading,"Emerson, Robert M",301.072 EME,90463,
Contemporary linear algebra,"Anton, Howard",512.5 ANT,229150,
Contemporary macroeconomic theory and policy,"Jha, Raghbendra",33905 JHA,177548,
"Contemporary political theory: new dimensions, basic concepts and major trends","Johari, J. C",320.1 JOH,196407,
Contitutional government in India,"Pylee, M. V",342.5402 PYL,68029,
Contracts and their management,"Ramaswamy, B. S.",658.723 RAM,235871,
Contribution to the theory of the trade cycle,"Hicks, J. R",380.101 HIC,18810,
Control engineering: theory and practice,"Bandyopadhyay, M N",629.8 BAN,233801,
Control of unstable systems,"Padama Sree, R",629.8 PAD,240087,
Control system design,"Goodwin, Graham C",629.8 GOO,233811,
Control systems engineering,"Nagrath, I.J.",629.8 NAG,266837,
Control systems theory with engineering applications,"Lyshevski,Sergey Edward",629.8312 LYS,234046,
Control systems: principles and design,"Gopal, M.",629.8312 GOP,177864,
"Control systems: theory, problems and solutions, and MCQs","Karna, Satish K.",629.8 KAR,276828,
Coordinate geometry of three dimensions,Hari Kishan.,516.16 HAR,297564,
Coordinate geometry: 2-D and 3-D,"Sharma, G.C.",516.16 SHA,251300,
Core JAVA,"Horstmann, Cay S.",005.133J HOR,248563,
Core java 1.2,"Horstmann, Cay S",005.133J HOR,197733,
Core web programming,"Hall, Marty",004.69 HAL,267154,
Corporate accounting,"Arulanandam, M. A",657.1 ARU,180515,
Corporate finance: theory and practice,"Damodaran, Aswath",658.15 DAM,229883,
Corporate governance: a question of ethics,Surendar Kumar,658.4 SUR,204455,
Cost accounting,"Khan, M. Y",657.42 KHA,192490,
Cost accounting,"Pillai, R S N",657.42 PIL,235572,
Cost accounting: a managerial emphasis,"Horngren, Charles T.",657.42 HOR,229862,
Cost accounting: principles and practice,"Iyengar, S. P",657.42 IYE,106881,
Cost accounting: principles and practice,"Agarwal, M. L",657.42 AGA,189863,
Cost accounting: principles and practice,"Arora, M. N",657.42 ARO,194032,
Cost accounting: principles and practice,"Nigam , B.M. Lall",657.42 NIG,229692,
Cost accounting: theory and practice,"Agarwal, M. L",657.42 AGA,106849,
Cost and management audit,"Ramanathan, A. R",657.45 RAM,176587,
Cost-benefit analysis: theory and practice,"Dasgupta, Ajit K.",658.1554 DAS,67890,
Counseling and psychotherapy: theory and practice,"Corey, Gerald",361.06 COR,286956,
Counseling process: a multiheoretical integrative approach,"Welfel, Elizabeth Reynolds",158.3 WEL,286966,
"Counseling psychology: practices, issues, and intervention","Gelso, Charles",158.3 GEL,276900,
Counselling and guidance,"Rao, S. Narayana",371.4 RAO,189631,
Counselling psychology,"Narayana Rao, S",158.3 NAR,107144,
Course in chemistry: for IIT joint entarence examination and other engineering college enterance examinations,,540.76 COU,136981,
Course in electrical and electronics measurements and instrumentation,"Sawhney, A. K",621.37 SAW,314890,
Course in mathematics for IIT JEE,,510 COU,196247,
Course in workshop technology,"Raghuwanshi, B. S",670 RAG,317734,
Crafting and executing strategy: Quest for cometitive advantage,"Thompson, Arthur A.",658.4 CRA,239609,
Creative letter writing,"Gangualy, Anand",651.75 GAN,250974,
Criminal law,"Pillai, P. S. A.",345.54 PIL,120856,
Criminology,"Ahuja, Ram",364 AHU,195873,
Criminology: problems and perspective,"Siddique, Ahmad",364 SID,61209,
Crisis of values: a study in generation gap,"Gangrade, K. D",305.20154 GAN,61447,
Crucible: a play in four acts,"Miller, Arthur",422 MIL,284501,
Cryptography and network security,"Forouzan, Behrouz A.",652.8 FOR,319883,
Cryptography and network security: Principles and practice,"Stallings,William",652.8 SAT,231693,
Cultural context of leadership and power,"Sinha, Jai B. P",303.34 SIN,179519,
Cultural theory,"Oswell, David, ed.",306 CUL,270294,
Culture change in India: identity and Globalization,Yogendra Singh,303.48254 YOG,190600,
Culture of animal cells: a manual of basic technique and specialized applications,"Freshney, R. Ian",571.6381 FRE,285396,
Curcuit analysis,"Abdus Salam, Md.",621.3815 ABD,284186,
Current English for colleges: a course for undergraduate learners,"Krishnaswamy, N.",428 KRI,198342,
Current trends in industrial and applied mathematics,"Khalil Ahmad, ed.",519 CUR,238638,
Customer relationship management,"Peeru Mohamed, H.",658.8120954 PEE,243104,
Customer relationship management,"Bhat, K. Govinda",658.812 BHA,296755,
Customer relationship management essentials,"Gosney, John W.",658.812 GOS,229767,
"Customer relationship management: emerging concepts, tools and applications","Sheth, Jagdish N. ed.",658.8120954 CUS,229763,
Data and computer communications,"Stallings, William",004.6 STA,285369,
"Data base: structured techniques for design, performance and management with case studies","Atre, S",005.74 ATR,109204,
Data communication,"Gupta, Prakash C",005.754 GUP,201959,
Data communications and computer networks,Brijendra Singh,004.6 BRI,233821,
Data communications and computer networks,"Gupta, Prakash C.",004.6 GUP,275559,
Data communications and networking,"Forouzan, Behrouz A.",004.6 FOR,300031,
Data mining,"Han, Jiawei",005.74 HAN,231682,
Data mining and analysis: fundamental concepts and algorithms,"Zaki, Mohammed J.",005.74 ZAK,318904,
Data mining: concepts and techniques,"Han, Jiawei",005.74 HAN,285248,
Data mining: introductory and advanced topics,"Dunham, Margaret H.",005.74 DUN,239250,
Data mining: practical machine learning tools and techniques,"Witten, Ian H.",005.74 WIT,267298,
Data structure and program design in C,"Kruse, Robert L",005.133 KRU,201497,
Data structures and algorithm analysis in C,"Weiss, Mark Allen",005.73 WEI,299556,
Data structures and algorithms in C++,"Drozdek, Adam",005.133 DRO,199773,
Data structures and algorithms in java,"Drozdek, Adam",005.133 DRO,199787,
Data structures and other objects: a second course in computer science,"Main, Michael",005.73 MAI,267555,
Data structures and program design in C,"Kruse, Robert L",005.133 KRU,238564,
Data structures in C++,"Kutti, N. S",005.133 KUT,201437,
Data structures through C,"Kanetkar, Yashavant P.",005.73C KAN,299586,
Data structures through C: a practical approach,"Baluja, G.S.",005.73 BAL,303103,
Data Structures through C++,"Kanetkar, Yashavant P.",005.133C KAN,299588,
Data structures using C and C++,"Langsam, Yedidyah",005.13 LAN,285363,
Data structures using PASCAL,"Tenenbaum, Aaron M",005.362 TEN,197826,
"Data structures, algorithms and applications in JAVA","Sahni, Sartaj",005.74 SAH,319888,
Data warehousing fundamentals: a comprehensive guide for IT professionals,"Ponniah, Paulraj",005.74 PON,239030,
Database management systems,"Ramakrishnan, Raghu",005.74 RAM,197861,
Database management systems: designing and building business applications,"Post, Gerald V.",005.74 POS,236093,
Database system concepts,"Korth, Henry F",005.74 KOR,163960,
Database system concepts,"Silberschatz, Abraham",005.74 SIL,299577,
Davidson's principles and practice of medicine,"Colledge, Nicki R., ed.",615.1 DAV,286505,
DB2: the complete refrence,"Melnyk, Roman B.",005.74 MEL,240313,
DC and AC electricity,"Veley, Victor F",621.361 VEL,168432,
Debates with historians,"Geyl, Pieter",907.2 GEY,C5331,
Decentralised planning and panchayati raj institutions,"Mishra, S. N.",352.14 MIS,278329,
Democracy and discontent: India's growing crisis of governability,"Kohli, Atul",321.80954 KOH,237400,
Democracy and its critics,"Dahl, Robert A",321.8,179341,
"Democracy, decentralisation and development","Maddick, Henry",351 MAD,7272,
Deprivation: its social roots and psychological consequences,"Sinha, Durganand,ed.",305.50954 DEP,178035,
Derivatives and risk management,"Srivastava, Rajiv",658.155 SRI,277446,
Derivatives: valuation and risk management,"Dubofsky, David A.",332.632 DUB,277434,
"Describing electronic, digital and other media using AACR2 and RDA: a how-to-do-it manual and CD-Rom for librarians","Weber, Mary Beth",025.316 WEB,287399,
Design and applications of analog integrated circuits,"Soclof, Sidney",621.3815 SOC,231228,
Design and development of a novel MPPT (Maximum power point tracker) for solar Photovoltaic (PV)  energy conversion system,Ahteshamul Haque,621.31042 AHT,308172,
Design data handbook: for mechanical engineers,"Mahadevan, K",621.8150202 DES,181886,
Design of concrete mixes,"Krishna Raju, N",624.1834 KRI,181854,
Design of machine elements,"Bhandari, V B",621.815 BHA,236124,
Design of reinforced concrete structures,"Krishna Raju, N",624.18341 KRI,181851,
Design of reinforced concrete structures,"Gupta, Ashok Kumar",624.18341 GUP,196338,
"Design of reinforced concrete structures: conforming to IS, 456: working stress method and limit statemethod","Ramamrutham, S",624.183 RAM,175778,
Design of steel structures,"Negi, L. S",624.1821 NEG,168168,
Design of steel structures,"Raghupathi, M.",693.71 RAG,168177,
Design of steel structures,"Abu-Saba, Elias G",624.1821 ABU,181903,
Design of steel structures,Ram Chandra,624.1821 RAM,184644,
Design of steel structures,"Negi, L. S",624.1821 NEG,203024,
Design of steel structures,"Subramanian, N.",624.1821 SUB,276080,
Design of steel structures,"Duggal, S.K.",693.71 DUG,315024,
Design of steel structures: by limit state method as per IS 800-2007,"Bhavikatti, S.S.",624.1821 BHA,299927,
Design with operational amplifiers and analog integrated circuits,"Franco, Sergio",621.3815 FRA,234062,
Designing of foundation systems: principles and practices,"Kurian, Nainan P",624.15 KUR,174007,
Designing surveys: a guide to decisions and procedures,"Czaja, Ronald",001.4 CZA,274301,
Developing bioinformatics computer skills,"Gibas, Cynthia",572.0285 GIB,278517,
Development and change in Sri Lanka: geographical perspectives,"Peiris, G. H",915.493 DEV,167124,
Development banking,"Desai, Vasant",332.150954 DES,176433,
Development economics,"Ray, Debraj",338.9 RAY,190656,
Development experiences in the Indian economy,Brahmananda P.R. ed.,330.954 DEV,207564,
Development of entrepreneurship,"Batra ,G.S.",338.04 BAT,207754,
Development of the infant and young child: normal and abnormal,"Illingworth, Ronald S",155.422 ILL,120246,
Development planning: the Indian experience,"Chakravarty, Sukhamoy",338.954 CHA,277277,
Development policy and administration,"Mathur, Kuldeep, ed.",338.954 DEV,254884,
Development psychology,Shaizad Suhail,155 SHA,196736,
Developmental biology,"Twyman, R. M",570 TWY,201378,
Developmental biology,"Gilbert, Scott F.",571.8 GIL,243859,
Developmental psychology: childhood and adolescence,"Shaffer, David R.",155 SHA,276905,
Deviance and control,"Cohen, Albert K",302.542 COH,57576,
Dewey decimal classification and relative index,"Dewey, Melvil",025.431 DEW,119584,
Dewey Decimal Classification and relative index,"Dewey, Melvil",025.431 DEW,316260,
Dewey decimal classification for school libraries,"South, Mary L",025.431 DEW,94527,
Dictionary of commerce and management,"Chand, S.N., ed.",380.03 DIC,242272,
Dictionary of computer and information technology terms,,004.03 DIC,231980,
Dictionary of economics,"Nagpal, C. S",303.03 NAG,161192,
Dictionary of geographic information systems: (GIS - Lexicon),"Govardhan, Veerlapati",910.28503 GOV,250987,
Dictionary of Islam: being a cyclopaedia of the dictionaries... religion,"Hughes, Thomas Patrick",297.03 HUG,100845,
Dictionary of management,"Maidan, M. C",658.003 DIC,174710,
Dictionary of mechanical engineering,"Naylefr, G H F",621.03 NAY,234162,
Dictionary of political analysis,"Plano, Jack C",320.03 PLA,55613,
Dictionary of telecommunications,"Graham, John",621.38203 GRA,234012,
Difference equations: an introduction with applications,"Kelley, Walter G.",515.35 KEL,267300,
Differential and integral calculus,"Piskunov, N",515.33 PIS,204614,
Differential calculus,Shanti Narayan,515.33 SHA,7035,
Differential calculus,"Prabhakar, T. R",515.33 PRA,183621,
Differential calculus,Shanti Narayan,515.33 SHA,204267,
Differential calculus,"Rao, S Balachandra",515.33 RAO,234775,
Differential calculus in normed linear spaces,"Mukherjea, Kalyan",515.33 MUK,234752,
Differential equations and their applications,Zafar Ahsan,515.35 ZAF,238235,
Differential equations: with applications and programs,"Rao, Balachandra S",515.35 RAO,179427,
Differential geometry,"Hicks, Noel J",516.36 HIC,66390,
Differential geometry,"Kreyszig, Erwin",516.36 KRE,177153,
Differential geometry,"Guggenheimer, Heinrich W.",516.36 GUG,194018,
Differential geometry of curves and surfaces,"Misra, Ram Bilas",516.36 MIS,204228,
Differential geometry of three dimensions,"Weatherburn, C. E",516.36 WEA,205555,
Differential geometry: a first course,"Somasundaram , D.",516.36 SOM,238445,
Differential geometry: an integrated approach,Nirmala Prakash,516.36 NIR,164097,
Digital and analog communication systems,"Couch, Leon W.",621.3815 COU,203582,
Digital circuits and design,"Salivahanan, S.",621.3815 SAL,303039,
Digital circuits and logic design,"Lee, Samuel C",621.3815 LEE,231234,
Digital communications systems: with satellite and fiber optics applications,"Kolimbiris, Harold",621.382 KOL,233923,
Digital communications: fundamentals and applications,"Sklar, Bernard",621.382 SKL,230741,
Digital computer fundamentals,"Bartee, Thomas C",004.61 BAR,119598,
Digital control and state variable methods,"Gopal, M",629.89 GOP,177866,
Digital design,"Mano, M. Morris",621.3815 MAN,299463,
Digital electronics and microcomputers,"Gaur, R.K.",621.381 GAU,243515,
Digital electronics and microprocessors: problems and solutions,"Jain, R. P",004.16,285782,
Digital electronics: an introduction to theory and practice,"Gothmann, William H",621.381 GOT,300315,
Digital electronics: circuits and systems,"Puri, V. K.",621.3815 PUR,248578,
"Digital electronics: circuits, systems and ICs","Ali, S.N.",621.3815 ALI,250988,
Digital fundamentals,"Floyd, Thomas L.",621.39 FLO,299434,
Digital image processing and analysis,Bhabatosh Chanda,621.367 BHA,307570,
Digital integrated circuit design,"Martin, Ken",621.3815 MAR,276060,
Digital integrated electronics,"Taub, Herbert",621.381 TAU,181995,
Digital logic and computer design,"Mano, M.Morris",004.21 MAN,299754,
Digital logic and state machine design,"Comer, David J.",004.21 COM,276095,
Digital logic design,Mansaf Alam,621.395 MAN,318425,
Digital photogrammetry.,"Kasser, Michel",526.982 KAS,207614,
Digital principles and applications,"Leach, Donald P",621.39 LEA,299459,
Digital principles and design,"Givone, Donald D.",004 GIV,319893,
Digital remote sensing,"Nag, P",621.3678 NAG,181421,
Digital signal processing,"Salivahanan, S.",621.3815 SAL,277770,
Digital signal processing,"Proakis, John G.",621.3815 PRO,278479,
Digital signal processing: a computer based approach,"Mitra, Sanjit K.",621.3822 MIT,240157,
Digital systems: principles and applications,"Tocci, Ronald J",004.616 TOC,174075,
Digital transmission systems,"Smith, David R",621.382 SMI,181764,
Dilemmas of growth: the Indian experience,"Dantwala, M. L",338.954 DAN,207574,
Dimensions of social change in India,"Srinivas, M. N",303.40954 DIM,60377,
"Dinesh objective chemistry: some pitfalls, A-level information, ultimate preparatory package, some noteworthy points and brian teasers","Kapil, P. N.",540.76 KAP,217801,
Direct stiffness method,"Selvem, V. K. Manicka",515.62 SEL,177269,
Direct taxes: law & practice,"Bhagwati, Prasad",,175651,
Directory of Indian women today: 1976,Ajeet Cour,920.00820954 DIR,61188,
Disaster management,"Rao, K. Hanumantha",363.3406 RAO,257482,
Disaster management,"Narayan, B.",363.3406 NAR,257491,
Disaster management,"Singh, S.R.",363.3408 SIN,257494,
Disaster management and rehabilitation,"Dasgupta, Rajdeep",363.3406 DAS,257479,
Disaster management: strictly on the basis of prescribed syllabus with modern trends,"Gaur, Ramakant",363.3406 GAU,257497,
Disaster mitigation: experiences and reflections,"Sahni, Pardeep, ed.",363.348 DIS,284800,
Disaster risk reduction in South Asia,"Sahni, Pradeep, ed.",363.348 DIS,284781,
"Discovering genomics, proteomics, and bioinformatics","Campbell, A Malcolm",572.86 CAM,237173,
Discrete  mathematics,"Johnsonbaugh, Richard",004.0151 JOH,234692,
Discrete Mathematical Structures,"Somasundaram, R M",004.0151 SOM,234607,
Discrete mathematical structures,"Shanker Rao, G",004.0151 SHA,234702,
Discrete mathematical structures for computer science,"Kolman, Bernard",004.0151 KOL,199316,
Discrete mathematical structures with applications to computer science,"Tremblay, J.P.",004.0151 TRE,238284,
Discrete mathematics,"Jaiswal, S",004.0151 JAI,195490,
Discrete mathematics,"Akerkar, Rajendra",004.0151 AKE,231013,
Discrete mathematics,"Tamilarasi, A",004.0151 TAM,231065,
Discrete mathematics,"Mittal, P K",004.0151 MIT,231072,
Discrete mathematics,"Biggs, Norman L",004.0151 BIG,238936,
Discrete mathematics,"Lipschutz, Seymour",004.0151 LIP,250637,
Discrete mathematics,Babu Ram,519 BAB,272869,
Discrete mathematics and combinatorics,"Sengadir, T.",519 SEN,272888,
Discrete mathematics and its application: with combinatorics and graph theory,"Rosen, Kenneth H",519 ROS,285226,
Discrete mathematics and its applications,"Sethumadhavan, M., ed.",004.0151 DIS,238435,
Discrete mathematics and its applications: with combinatorics and graph theory,"Rosen, Kenneth H.",004.0151 ROS,267655,
Discrete mathematics for computer scientists and mathematicians,"Mott, Joe L",004.0151 MOT,275502,
Discrete mathematics with applications,"Koshy, Thomas",004.0151 KOS,235368,
Discrete mathematics with graph theory,"Goodaire, Edgar G.",004.0151 GOO,275507,
Discrete mathematics: elementary and beyond,"Lovasz, L et al",004.0151 LOV,231023,
Discrete structures and automata theory,"Dube, Rakesh",004.0151 DUB,238430,
Disorganization: personal and social,"Mowrer, Ernest R",302 MOW,R162,
Disputed mosque: a historical inquiry,"Srivastava, Sushil",303.60954 SRI,138997,
Diversity and social justice: the role of social work and social work education: proceedings,Seminar on Diversity and Social Justice (1979 : Melbourne),302 DIV,96410,
Doctor Faustus,"Beddow, Michael",823.912 MAN,178358,
Doctors and nurses: a study in occupational role structures,"Oommen, T. K.",362.11 OOM,71446,
Documentation and information services in cyber age,Satyendra Kumar,025.52 SAT,247565,
"Documentation and information services, systems and techniques","Khanna, J. K",025.52 KHA,189317,
"Documentation and information: services, techniques and systems","Guha, B",025.52 GUH,108952,
Documentation: genesis and development,"Ranganathan, S. R",025 RAN,49158,
Drugs,"Krupadanam, G.L. David, ed.",615 DRU,251748,
Due process of law,"Denning, Lord",347.4201 DEN,151141,
Dynamic earth system,"Patwardhan, A.M.",550 PAT,284836,
Dynamics of bureaucracy: a study of international relations in two government agencies,"Blau, Peter M.",352.63 BLA,65176,
Dynamics of entrepreneurial development and management: planning for futue sustainable growth,"Desai, Vasant",658.421 DES,296898,
Dynamics of rural developmen,"Das, Devendra Kumar, ed.",307.14120954 DYN,278352,
Dynamics of structures: theory and applications to earthquake engineering,"Chopra, Anil K",624.1762 CHO,174048,
e - Retailing: principles and practice,"Sharma, D.P.",658.872 SHA,296865,
E R P: a managerial perspective,"Sadagopan, S",658.00954 ERP,182759,
Early childhood education today,"Morrison, George S.",372.21 MOR,195007,
Earthquake resistant design of structures,"Duggal, S.K.",693 DUG,276108,
Earth's evolving systems: the history of planet earth,"Martin, Ronald",551.7 MAR,294988,
Easy steps to functional Arabic.,"Bahmani, Karamatullah",492.75 BAH,204097,
eBusiness: a beginner's guide,"Elsenpeter, Robert C.",658.84 ELS,240771,
ECG made easy,"Hampton, John R",616.1207547 HAM,286607,
Eckert animal physiology: mechanisms and adaptations,"Randal, David",571.1 RAN,191801,
Ecological research to promote social change: methodological advaces from community psychology,"Revension, Tracey A., ed.",155.94 ECO,285897,
Ecology,"Dodson, Stanley I",577 ECO,192135,
Ecology and environment,"Sharma, P.D.",577 SHA,269966,
Ecology and environmental management: a geographical perspective,"Park, Chris C",301.31 PAR,234331,
E-commerce,"Goel, Ritendra",658.872 GOE,320411,
E-commerce applications using oracle8i and java from scratch,"Thakkar, Meghraj",384.55065 THA,201653,
"E-commerce: business, technology, society","Laudon, Kenneth C.",658.872 LAU,320413,
E-commerce: the cutting edge of business,"Bajaj, Kamlesh K",658.872 BAJ,320409,
Econometric analysis,"Greene, William H",330.015195 GRE,194825,
Econometric methods,"Johnston, J",330.015195 JOH,73980,
Econometric models and economic forecasts,"Pindyck, Robert S",330.015195 PIN,175346,
Econometrics,"Maddala, G. S",330.015195 MAD,98873,
Econometrics and mathematical economics,"Singh, S. P",330.95195 SIN,188956,
Econometrics: theoretical foundations and empirical perspectives,"Nachane, Dilip M.",330.015195 NAC,255098,
Economic analysis,"Boulding, Kenneth E",330 BOU,C14268,
Economic and commercial geography,"Bari, S. A",910.133 BAR,51173,
Economic and commercial geography of India,"Sharma, T. C",910.133054 SHA,113899,
Economic and social survey of Asia and the Pacific 2006: energizing the global economy,,330.0723095 ECO,241117,
Economic botany,"Pandey, S. N",581.6 PAN,199672,
Economic development,"Kindleberger, Charles P.",338.9 KIN,61949,
Economic development and environment: a case study of India,"Roy, Kartik C, ed.",338.954 ECO,174356,
Economic development and productivity,"Bright, Jay B",338.954 BRI,70612,
Economic development of Japan,"Chakrabarti, Sudhindra Chandra",338.9 CHA,24074,
"Economic development: principles, problems and policies","Higgins, Benjamin",338.9 HIG,63772,
Economic dynamics: an introduction,"Baumol, William J",330.153 BAU,64858,
Economic environment of business,"Ghosh, Biswanath",658 GHO,229739,
Economic geography,"Hartshorn, Truman A",910.133 HAR,284772,
Economic geography,"Anderson, William P",910.133 AND,295008,
Economic geography of India,"Gananathan, V. S",910.133054 GAN,46006,
"Economic geography of India: including Pakistan, Burma and Ceylon","Dasgupta, A",910.133054 DAS,23752,
Economic geography of the U.S.S.R.,"Baransky, N. N",910.133047 BAR,22500,
Economic geography: a study of resources,"Roy, P K",910.133 ROY,229479,
Economic growth,"Barro, Robert J",338.9 BAR,175336,
Economic history of India: 1857-1947,"Dhar, Mainak",330.954 DHA,180840,
Economic history of India: 1857-1956,"Singh, V. B ed.",330.0954 ECO,97759,
Economic policy in our time,"Eskstein, O",338.9 ESK,22668,
Economic principles for education: theory and evidence,"Belfield, Clive R.",338.4737 BEL,286138,
Economic progress and policy in developing countries,"Maddison, Angus",338.9 MAD,33643,
Economic survey of India: 1947-48 to 2008-09,"Prasad, Chandra Shekhar",330.0723 PRA,258147,
Economic survey: 2002-2003,India. Ministry of Finance and Company Affairs,330.0723 IND,207609,
Economic survey: 2003-2004,India. Ministry of Finance,330.07230954 IND,229683,
Economic systems,"Grossman, Gregory",330.12 GRO,15993,
Economic systems and micro-economic theory,"Agarwala, S. K",338.5 AGA,183647,
Economic theory and operations analysis,"Baumol, William J",330.0184 BAU,285531,
Economic theory and under-developed regions,"Myrdal, Gunnar",338.911724 MYR,61926,
Economic theory: an integrated text with special reference to developing areas,"Bell, Philip W",330.01 BEL,67194,
Economics,"Parkin, Michael",330 PAR,195308,
Economics,"Colander, David C",330 COL,196030,
Economics,"Krugman, Paul",330 KRU,270399,
Economics,"Lipsey, Richard G",330 LIP,276268,
Economics,"Samuelson, Paul A",330 SAM,299893,
Economics and business statistics,"Rajan, Kathamba",330.015195 RAJ,296849,
Economics of agricultural production and resource use,"Heady, Earl O",338.16 HEA,C8351,
Economics of business policy,"Sengupta, Dibyendra Nath",338.7 SEN,235923,
Economics of development and planning,"Jhingan, M. L",338.954 JHI,177552,
Economics of development: empirical investigation,"Yotopoulos, Pan A",338.9 YOT,67171,
Economics of financial markets,"Bailey, Roy E.",332 BAI,286109,
Economics of growth,"Aghion, Philippe",338.9 AGH,297062,
Economics of public finance,"Taylor, Philip E",336 TAY,61400,
Economics: a general introduction,"Benham, Frederic",330 BEN,42620,
"Ecoscience: population, resources, environment","Ehrlich, Paul R.",304.6 EHR,X1228,
Ecrits: a selection,"Lacan, Jacques",843.08 LAC,284525,
Educational psychology,"Woolfolk, Anita",370.15 WOO,232669,
Eelectornic instrumentation and  measurements,"Bell, David A",621.381 BEL,231258,
Effective industrial management,"Lundy, James L.",658.5 LUN,106683,
Effective library and information centre management,"Bryson, J. O",025.1 BRY,165683,
Effective technical communication: a guide for scientists and engineers,"Mitra, Barun K.",621.382 MIT,276086,
Eighteenth century England,"Marshall, Dorothy",942.07 MAR,5713,
Electomagnetic field theory and wave propagation,"Mukherji, Uma",537.12 MUK,258658,
Electric circuit  theory,"Arumugam,M.",621.3192 ARU,232844,
Electric circuit analysis,"Sivanandam, S.N.",621.3192 SIV,232696,
Electric circuit theory,"Rajeswaran, K.",621.3192 RAJ,232560,
